n,room,time
9,meetingRoom,6.24
9,meetingRoom,6.04
9,meetingRoom,5.8
11,meetingRoom,7.72
11,meetingRoom,6.48
11,meetingRoom,5.92
11,meetingRoom,6.6
13,meetingRoom,8.28
13,meetingRoom,8.12
13,meetingRoom,7.76
13,meetingRoom,8.56
15,meetingRoom,8.2
15,meetingRoom,8.88
15,meetingRoom,8.44
15,meetingRoom,7.72
17,meetingRoom,9.72
17,meetingRoom,8.96
17,meetingRoom,9.48
17,meetingRoom,10.24
19,meetingRoom,10.16
19,meetingRoom,10.28
19,meetingRoom,10.6
19,meetingRoom,9.6
21,meetingRoom,10.72
21,meetingRoom,11.84
21,meetingRoom,11.12
21,meetingRoom,11.44
23,meetingRoom,13.04
23,meetingRoom,12.64
23,meetingRoom,11.68
23,meetingRoom,11.56
25,meetingRoom,13.16
25,meetingRoom,12.96
25,meetingRoom,12.72
25,meetingRoom,13.04
